file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
229.txt	83.75	97.12	73.62	43.31	94.44	28.10	1652	49	592	34	2	87
230.txt	95.96	98.41	93.63	79.31	95.83	67.65	926	15	63	23	1	11
231.txt	62.26	99.82	45.24	31.29	100.00	18.55	1136	2	1375	23	0	101
232.txt	97.44	99.91	95.08	94.16	100.00	88.97	4293	4	222	121	0	15
233.txt	97.27	99.94	94.74	75.47	100.00	60.61	1585	1	88	20	0	13
234.txt	75.48	98.68	61.11	31.58	100.00	18.75	2775	37	1766	24	0	104
235.txt	72.83	99.47	57.45	13.61	100.00	7.30	744	4	551	13	0	165
236.txt	86.68	99.88	76.56	67.80	100.00	51.28	833	1	255	20	0	19
237.txt	95.86	99.03	92.90	90.68	99.30	83.43	5900	58	451	141	1	28
238.txt	91.83	99.23	85.46	70.31	100.00	54.22	4508	35	767	45	0	38
239.txt	99.24	99.94	98.56	90.70	100.00	82.98	1706	1	25	39	0	8
240.txt	96.86	99.59	94.28	86.52	98.72	77.00	5386	22	327	77	1	23
241.txt	97.90	99.98	95.91	95.29	100.00	91.00	4152	1	177	91	0	9
242.txt	16.25	93.55	8.90	3.92	100.00	2.00	87	6	891	2	0	98
243.txt	94.28	99.21	89.81	72.00	100.00	56.25	379	3	43	9	0	7
244.txt	97.41	100.00	94.95	82.35	100.00	70.00	2632	0	140	56	0	24
245.txt	88.73	99.51	80.05	56.41	84.62	42.31	606	3	151	11	2	15
246.txt	39.86	98.21	25.00	13.33	100.00	7.14	55	1	165	1	0	13
247.txt	97.17	99.71	94.75	80.37	100.00	67.19	2418	7	134	43	0	21
249.txt	94.41	99.93	89.47	74.23	100.00	59.02	1411	1	166	36	0	25
250.txt	26.90	99.83	15.55	8.77	97.06	4.59	2408	4	13082	66	2	1371
251.txt	99.88	99.92	99.84	97.72	97.27	98.17	5015	4	8	107	3	2
