file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
246.txt	38.41	94.64	24.09	0.00	0.00	0.00	53	3	167	0	0	14
247.txt	95.20	99.83	90.99	0.00	0.00	0.00	2322	4	230	0	0	64
249.txt	93.66	99.43	88.52	0.00	0.00	0.00	1396	8	181	0	0	61
250.txt	26.45	98.83	15.27	0.00	0.00	0.00	2365	28	13125	0	0	1437
251.txt	98.86	100.00	97.75	0.00	0.00	0.00	4910	0	113	0	0	109
252.txt	95.02	98.06	92.16	0.00	0.00	0.00	8300	164	706	0	0	203
253.txt	96.01	99.71	92.58	0.00	0.00	0.00	686	2	55	0	0	20
254.txt	95.72	99.89	91.89	0.00	0.00	0.00	918	1	81	0	0	35
255.txt	76.50	98.55	62.51	0.00	0.00	0.00	612	9	367	0	0	54
256.txt	96.06	98.60	93.64	0.00	0.00	0.00	2473	35	168	0	0	59
257.txt	97.91	99.92	95.97	0.00	0.00	0.00	1287	1	54	0	0	14
258.txt	95.02	99.70	90.75	0.00	0.00	0.00	2698	8	275	0	0	90
259.txt	96.95	99.35	94.66	0.00	0.00	0.00	2462	16	139	0	0	38
260.txt	52.23	100.00	35.34	0.00	0.00	0.00	346	0	633	0	0	114
261.txt	85.77	98.74	75.82	0.00	0.00	0.00	2276	29	726	0	0	52
262.txt	61.08	100.00	43.97	0.00	0.00	0.00	51	0	65	0	0	6
263.txt	98.00	100.00	96.07	0.00	0.00	0.00	856	0	35	0	0	22
264.txt	94.00	100.00	88.68	0.00	0.00	0.00	564	0	72	0	0	24
265.txt	87.11	81.98	92.93	0.00	0.00	0.00	828	182	63	0	0	42
266.txt	92.66	99.49	86.71	0.00	0.00	0.00	587	3	90	0	0	46
267.txt	98.53	99.96	97.13	0.00	0.00	0.00	8125	3	240	0	0	124
268.txt	98.34	99.89	96.84	0.00	0.00	0.00	14629	16	478	0	0	391
269.txt	97.41	98.90	95.96	0.00	0.00	0.00	902	10	38	0	0	13
270.txt	12.90	100.00	6.90	0.00	0.00	0.00	2	0	27	0	0	2
271.txt	94.02	94.40	93.65	0.00	0.00	0.00	236	14	16	0	0	10
272.txt	66.96	97.03	51.12	0.00	0.00	0.00	1274	39	1218	0	0	122
273.txt	96.12	95.33	96.92	0.00	0.00	0.00	4817	236	153	0	0	108
274.txt	96.14	96.44	95.85	0.00	0.00	0.00	947	35	41	0	0	25
275.txt	98.20	100.00	96.47	0.00	0.00	0.00	1311	0	48	0	0	26
276.txt	62.94	56.12	71.65	0.00	0.00	0.00	422	330	167	0	0	26
277.txt	99.29	99.87	98.71	0.00	0.00	0.00	2295	3	30	0	0	27
278.txt	100.00	100.00	100.00	0.00	0.00	0.00	2	0	0	0	0	0
279.txt	95.37	97.93	92.94	0.00	0.00	0.00	1513	32	115	0	0	41
280.txt	97.10	97.56	96.64	0.00	0.00	0.00	5600	140	195	0	0	100
281.txt	95.39	96.99	93.85	0.00	0.00	0.00	2900	90	190	0	0	63
282.txt	95.53	94.56	96.51	0.00	0.00	0.00	3097	178	112	0	0	50
283.txt	97.85	99.19	96.55	0.00	0.00	0.00	615	5	22	0	0	16
284.txt	98.69	98.69	98.69	0.00	0.00	0.00	451	6	6	0	0	6
285.txt	97.91	98.80	97.04	0.00	0.00	0.00	820	10	25	0	0	18
286.txt	88.35	80.84	97.39	0.00	0.00	0.00	1751	415	47	0	0	31
287.txt	88.81	82.12	96.70	0.00	0.00	0.00	790	172	27	0	0	27
288.txt	97.22	98.50	95.98	0.00	0.00	0.00	8608	131	361	0	0	248
289.txt	99.21	99.51	98.92	0.00	0.00	0.00	4846	24	53	0	0	43
290.txt	96.69	96.08	97.31	0.00	0.00	0.00	760	31	21	0	0	11
291.txt	96.45	97.88	95.05	0.00	0.00	0.00	1249	27	65	0	0	45
292.txt	92.21	98.41	86.74	0.00	0.00	0.00	556	9	85	0	0	27
293.txt	76.49	63.46	96.25	0.00	0.00	0.00	745	429	29	0	0	25
294.txt	97.92	100.00	95.92	0.00	0.00	0.00	681	0	29	0	0	20
